nohup: les entrées sont ignorées

=== Batch indexation: 24611 tiles to process (24611 total pending) ===
    mode: EXECUTE

  [1/24611] tile (-78,83): 0 sites (0 new) — 1s elapsed, 0.9 tiles/s, ETA ~?s
  [2/24611] tile (-77,83): 0 sites (0 new) — 1s elapsed, 1.5 tiles/s, ETA ~?s
  [3/24611] tile (-76,83): 0 sites (0 new) — 2s elapsed, 1.8 tiles/s, ETA ~?s
  [4/24611] tile (-75,83): 0 sites (0 new) — 2s elapsed, 1.9 tiles/s, ETA ~?s
  [5/24611] tile (-74,83): 0 sites (0 new) — 2s elapsed, 2.1 tiles/s, ETA ~?s
  [6/24611] tile (-73,83): 0 sites (0 new) — 3s elapsed, 2.1 tiles/s, ETA ~?s
  [7/24611] tile (-72,83): 0 sites (0 new) — 3s elapsed, 2.2 tiles/s, ETA ~?s
  [8/24611] tile (-71,83): 0 sites (0 new) — 3s elapsed, 2.4 tiles/s, ETA ~?s
  [9/24611] tile (-70,83): 0 sites (0 new) — 4s elapsed, 2.4 tiles/s, ETA ~?s
  [10/24611] tile (-69,83): 0 sites (0 new) — 4s elapsed, 2.5 tiles/s, ETA ~?s
  [11/24611] tile (-68,83): 0 sites (0 new) — 5s elapsed, 2.4 tiles/s, ETA ~?s
  [12/24611] tile (-67,83): 0 sites (0 new) — 5s elapsed, 2.5 tiles/s, ETA ~?s
  [13/24611] tile (-66,83): 0 sites (0 new) — 5s elapsed, 2.5 tiles/s, ETA ~?s
  [14/24611] tile (-65,83): 0 sites (0 new) — 5s elapsed, 2.6 tiles/s, ETA ~?s
  [15/24611] tile (-64,83): 0 sites (0 new) — 6s elapsed, 2.6 tiles/s, ETA ~?s
  [16/24611] tile (-46,83): 0 sites (0 new) — 6s elapsed, 2.7 tiles/s, ETA ~?s
  [17/24611] tile (-45,83): 0 sites (0 new) — 6s elapsed, 2.7 tiles/s, ETA ~?s
  [18/24611] tile (-44,83): 0 sites (0 new) — 7s elapsed, 2.5 tiles/s, ETA ~?s
  [19/24611] tile (-43,83): 0 sites (0 new) — 8s elapsed, 2.5 tiles/s, ETA ~?s
  [20/24611] tile (-42,83): 0 sites (0 new) — 8s elapsed, 2.5 tiles/s, ETA ~?s
  [21/24611] tile (-41,83): 0 sites (0 new) — 9s elapsed, 2.4 tiles/s, ETA ~?s
  [22/24611] tile (-40,83): 0 sites (0 new) — 9s elapsed, 2.5 tiles/s, ETA ~?s
  [23/24611] tile (-39,83): 0 sites (0 new) — 9s elapsed, 2.5 tiles/s, ETA ~?s
  [24/24611] tile (-38,83): 0 sites (0 new) — 9s elapsed, 2.6 tiles/s, ETA ~?s
  [25/24611] tile (-37,83): 0 sites (0 new) — 10s elapsed, 2.5 tiles/s, ETA ~?s
